18.6210000515: Attitude:pitch=0.299767553806,yaw=1.77840733528,roll=-0.0441975407302
18.7219998837: Attitude:pitch=0.345579862595,yaw=2.11616230011,roll=0.0017591760261
18.8229999542: Attitude:pitch=0.345579862595,yaw=2.11616230011,roll=0.0017591760261
18.9240000248: Attitude:pitch=0.345579862595,yaw=2.11616230011,roll=0.0017591760261
19.0250000954: Attitude:pitch=0.201948285103,yaw=2.47989964485,roll=0.030432889238
19.1259999275: Attitude:pitch=0.201948285103,yaw=2.47989964485,roll=0.030432889238
19.2269999981: Attitude:pitch=0.201948285103,yaw=2.47989964485,roll=0.030432889238
19.3280000687: Attitude:pitch=0.137624651194,yaw=2.62574648857,roll=0.0268844291568
19.4289999008: Attitude:pitch=0.137624651194,yaw=2.62574648857,roll=0.0268844291568
19.5299999714: Attitude:pitch=0.137624651194,yaw=2.62574648857,roll=0.0268844291568
19.631000042: Attitude:pitch=0.218376606703,yaw=2.86471939087,roll=0.141426995397
19.7330000401: Attitude:pitch=0.218376606703,yaw=2.86471939087,roll=0.141426995397
19.8339998722: Attitude:pitch=0.252795040607,yaw=-3.10931611061,roll=0.219056218863
19.9349999428: Attitude:pitch=0.252795040607,yaw=-3.10931611061,roll=0.219056218863
20.0360000134: Attitude:pitch=0.252795040607,yaw=-3.10931611061,roll=0.219056218863
20.1370000839: Attitude:pitch=0.313325971365,yaw=-2.90311050415,roll=0.36753898859
20.2379999161: Attitude:pitch=0.313325971365,yaw=-2.90311050415,roll=0.36753898859
20.3389999866: Attitude:pitch=0.313325971365,yaw=-2.90311050415,roll=0.36753898859
20.4400000572: Attitude:pitch=0.217700868845,yaw=-2.80536675453,roll=0.32421246171
20.5409998894: Attitude:pitch=0.217700868845,yaw=-2.80536675453,roll=0.32421246171
20.6419999599: Attitude:pitch=0.217700868845,yaw=-2.80536675453,roll=0.32421246171
20.743999958: Attitude:pitch=0.23185493052,yaw=-2.68150854111,roll=0.277630925179
20.8450000286: Attitude:pitch=0.23185493052,yaw=-2.68150854111,roll=0.277630925179
20.9459998608: Attitude:pitch=0.23185493052,yaw=-2.68150854111,roll=0.277630925179
21.0469999313: Attitude:pitch=0.217869982123,yaw=-2.5648727417,roll=0.231397643685
21.1480000019: Attitude:pitch=0.217869982123,yaw=-2.5648727417,roll=0.231397643685
21.2490000725: Attitude:pitch=0.217869982123,yaw=-2.5648727417,roll=0.231397643685
21.3499999046: Attitude:pitch=0.15741443634,yaw=-2.33266091347,roll=0.19981123507
21.4519999027: Attitude:pitch=0.15741443634,yaw=-2.33266091347,roll=0.19981123507
21.5529999733: Attitude:pitch=0.15741443634,yaw=-2.33266091347,roll=0.19981123507
21.6540000439: Attitude:pitch=0.0228096712381,yaw=-1.90296971798,roll=0.189276948571
21.754999876: Attitude:pitch=0.0228096712381,yaw=-1.90296971798,roll=0.189276948571
21.8559999466: Attitude:pitch=0.0228096712381,yaw=-1.90296971798,roll=0.189276948571
21.9570000172: Attitude:pitch=-0.067441470921,yaw=-1.83600878716,roll=0.150158375502
